fonte,ig_media_id,object_story_id,tipo,data,permalink,legenda
"instagram","18004741538824226","","FEED","2025-12-09T21:38:05+0000","https://www.instagram.com/p/DSDt14cAY1N/","SAÚDE MENTAL IMPORTA 🧠✨ Hoje, o deputado Felippe Collaço entregou uma"
"instagram","18089584849980708","","REELS","2025-12-09T01:41:02+0000","https://www.instagram.com/reel/DSBkZbqDSpV/","🏅 Reconhecimento a quem faz a diferença em Santa Catarina Na noite de"
"instagram","17890598652389235","","REELS","2025-12-07T11:21:09+0000","https://www.instagram.com/reel/DR9dQfvgPj0/","Você sabia que o aumento do uso de leite em pó importado tem preocupad"
"instagram","18303098686281511","","REELS","2025-12-01T18:03:01+0000","https://www.instagram.com/reel/DRuuj4sAAG3/","🚨🚐 Você viu isso? Capivari de Baixo acaba de ganhar um reforço que m"
"instagram","18087785560788332","","FEED","2025-11-24T22:09:03+0000","https://www.instagram.com/p/DRdJdkJgB2M/","Carlos Gomes levou o Brasil ao mundo — e você conhece sua música mesmo"
"instagram","18082040732319718","","REELS","2025-11-22T19:18:30+0000","https://www.instagram.com/reel/DRXsHungVDy/","A tilápia é mais que um peixe: é renda, tradição e o sustento de cente"
"instagram","18543763876057662","","FEED","2025-11-17T22:54:41+0000","https://www.instagram.com/p/DRLNHtyja5E/","🇧🇷✨ Joaquim Nabuco: o abolicionista que sonhou um Brasil mais justo,"
"instagram","18022054244716881","","FEED","2025-11-14T16:59:40+0000","https://www.instagram.com/p/DRC2GzcAB4b/","🌻 Você já deve ter visto esses cordões coloridos. Muito mais que aces"
"instagram","18293063179259296","","FEED","2025-11-10T20:18:46+0000","https://www.instagram.com/p/DQ45toqkRCH/","🇧🇷 O que te ensinaram na escola sobre a bandeira do Brasil… é mentir"
"instagram","18214791166308873","","FEED","2025-11-08T19:38:54+0000","https://www.instagram.com/p/DQzrj1lEQ6N/","•• O Censo do Autismo não é estatística — é dignidade! A invisibilidad"
"instagram","18331917814240469","","REELS","2025-11-05T23:36:47+0000","https://www.instagram.com/reel/DQsX5wwjXSd/","Dia intenso por aqui! 💪🔥 Muito trabalho, muitos atendimentos e ainda"
"instagram","18165914161343175","","FEED","2025-11-05T20:33:38+0000","https://www.instagram.com/p/DQsDcIGgfpV/","Um brinde à uva Goethe, que nos presenteia com vinhos, frisantes e esp"
