ig_media_id,data,tipo,tema,status,motivo,alvo,engajamento,curtidas,comentarios,legenda,permalink
17943949172571742,2023-07-29,REELS,Institucional / Agenda,removido,fora de 2025-2026,,148,135,13,"Parabéns, lagunense! 🎉🎂 Neste aniversário da cidade, vamos celebrar ",https://www.instagram.com/reel/CvR196JMYng/
18052898050392297,2023-03-28,REELS,Institucional / Agenda,removido,fora de 2025-2026,,148,143,5,"🙋‍♂️Diretamente da Marcha dos Prefeitos, represento você em pautas im",https://www.instagram.com/reel/CqWQw2RD41P/
18087247814091590,2025-12-22,REELS,Esporte,removido,esporte sem realização,,147,136,11,"🚐🚑 Mais mobilidade, mais cuidado e mais esporte para Capivari! Entre",https://www.instagram.com/reel/DSkih7EgAn7/
18034545241875273,2024-07-07,FEED,Institucional / Agenda,removido,fora de 2025-2026,,147,141,6,"Te amo Filha! Feliz aniversário, que Deus continue te guiando e abenço",https://www.instagram.com/p/C9H242nufKX/
18365618287224538,2026-06-08,REELS,Educação,avaliar,sem regra (revisar),,146,138,8,🏗️💙 MAIS ESPAÇO. MAIS INCLUSÃO. MAIS FUTURO. As novas salas da APAE ,https://www.instagram.com/reel/DZVXanCP3zk/
17905513992413205,2026-05-02,REELS,Rural e Agro,aprovado,agro com realização,,146,134,12,MAIS INVESTIMENTO NO CAMPO 🚜 Seguimos trabalhando e entregando result,https://www.instagram.com/reel/DX2bA8eBzyP/
18143876269390391,2025-10-31,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,146,142,4,🤝 Encontro com as lideranças do Alto Vale Reunimos lideranças da regi,https://www.instagram.com/p/DQdBPJhDRIR/
18525174658050058,2025-08-16,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,146,141,5,"✨ Nosso sábado é assim: sempre junto, sempre presente! Hoje marcando p",https://www.instagram.com/p/DNbX32JpTd9/
18187816510319195,2025-08-11,REELS,Institucional / Agenda,avaliar,sem regra (revisar),Tubarão,146,143,3,🚀O futuro da inovação já tem endereço em Tubarão: Sigma Park! 💡 🏙️ ,https://www.instagram.com/reel/DNOv9s7JGrx/
18236004316275952,2024-08-17,REELS,Institucional / Agenda,removido,fora de 2025-2026,,146,132,14,SC DE PERTO! 🗺️ Política é sobre se conectar verdadeiramente com cada,https://www.instagram.com/reel/C-yZL73pu2S/
18056475707329790,2025-12-18,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),Paulo Lopes,145,135,10,"PAULO LOPES FAZ E FAZ RÁPIDO! 🚜💥 Obra boa é obra entregue, e Paulo L",https://www.instagram.com/reel/DSazYTEgWin/
17868875046338716,2025-03-17,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,145,121,24,"EUA ❌ CHINA, quem ganha com essa briga? 👀 Deixa sua opinião nos comen",https://www.instagram.com/reel/DHUNmaWpYYk/
18396121729065075,2023-12-17,REELS,Obras e Entregas,removido,fora de 2025-2026,,145,124,21,"TUBARÃO MERECE! 🦈 No primeiro ano de mandato, conquistamos R$ 10 milh",https://www.instagram.com/reel/C09SH1fOt7w/
17983229585796745,2025-02-21,REELS,Saúde,avaliar,saúde (avaliar),Jaguaruna,144,124,20,MAIS RECURSOS PARA A SAÚDE DE JAGUARUNA! 🏥✅ Estive no Hospital de Car,https://www.instagram.com/reel/DGWJwgHJOuB/
18057020800945551,2024-12-31,FEED,Institucional / Agenda,removido,fora de 2025-2026,,144,137,7,"Foram tantos momentos que não cabem em um só álbum, obrigado 2024! 🎉 ",https://www.instagram.com/p/DEQWIQDJQqi/
18043601692431605,2023-04-12,REELS,Cultura e Tradição,removido,fora de 2025-2026,,144,137,7,Um assunto difícil: o atentado em Blumenau marcou a história de SC e e,https://www.instagram.com/reel/Cq87AUHg-9Q/
17962883762968595,2025-09-17,REELS,Institucional / Agenda,avaliar,sem regra (revisar),Gaspar,143,139,4,🚨 Notícia boa pra Gaspar! 💙 R$ 150 mil já estão garantidos para fort,https://www.instagram.com/reel/DOtg4q-gACe/
17869342095117344,2024-06-26,REELS,Obras e Entregas,removido,fora de 2025-2026,,143,124,19,MAIS DE 5️⃣ MILHÕES! 🌽 TUBARÃO 📍Pavimentação da rua Adolfo José de S,https://www.instagram.com/reel/C8sNDohJJkW/
17876025393505372,2026-06-29,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,142,139,3,Rumo às oitavas com a nossa seleção! Que venha mais uma vitória do nos,https://www.instagram.com/p/DaLk7GBJN1h/
17885194002550245,2026-05-12,REELS,Institucional / Agenda,avaliar,sem regra (revisar),Tubarão,142,125,17,TUBARÃO MERECE MAIS! Tenho muito orgulho de representar essa cidade qu,https://www.instagram.com/reel/DYPI4gPAXfs/
18085070561091263,2025-12-10,REELS,Institucional / Agenda,avaliar,sem regra (revisar),Capivari de Baixo,142,134,8,💥 Capivari de Baixo segue avançando — e o trabalho não para! Revitali,https://www.instagram.com/reel/DSFyT4-AMnE/
18054955535416618,2026-02-06,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),Capivari de Baixo,141,136,5,CARRO NOVO PARA CAPIVARI DE BAIXO 🚗💪 Mais uma conquista chegando par,https://www.instagram.com/reel/DUbUjoyiahu/
18045421519464382,2023-07-19,REELS,Institucional / Agenda,removido,fora de 2025-2026,,141,123,18,Lutando por Laguna e fortalecendo a região! Colaborando com o desenvol,https://www.instagram.com/reel/Cu5JJL9sZBv/
