id,nome,campaign_id,campanha,adset_id,objetivo,status,gasto_brl,impressoes,alcance,cliques,cpm_brl,ctr_pct,engajamento,video_plays
120243814104880716,"iMPOSTO DE RENDA[view ][INSTAGRAN][R$50,00 01/05/2026 ]",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120243814104890716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.98,6578,5999,14,7.6,0.21,2757,6382
120241422011810716,"LEI AU TISMO[view][INSTAGRAN][R$50,00] 14/03/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,120241422011190716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.98,10123,5589,146,4.94,1.44,1419,9070
120241209047810716,"URUPEM A][Video View SC][Visualização de Feed]13/03/26][INSTR$50,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,120241209047800716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.98,7919,6368,140,6.31,1.77,1188,6939
120236398774650716,"autismo][Video View SC][Visualização de Feed][11/11/25][INSTR$50,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,120236398774640716,OUTCOME_ENGAGEMENT,Not available,49.98,4009,2796,34,12.47,0.85,455,0
120235788492580716,"AUTISMO][Video View SC][Visualização de Feed][11/10/25][INSTR$40,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,120235788492590716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.98,9210,6917,62,5.43,0.67,945,0
120233977420690716,[UDESC]Video View Brasil][02/10/25][INSTR$50,120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120233977420680716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.98,8799,7979,23,5.68,0.26,6062,8473
120229801669810716,[UNIVERSIDADE GRATUITA]Video View Brasil][16/07/25][INSTR$50,120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120229801669820716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.98,10309,9081,30,4.85,0.29,8175,9976
120223064207290716,"[MORRO DOS CAVALOS][Video View REGIAO][15/04/25][INSTR$50,00]",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120223064207300716,OUTCOME_ENGAGEMENT,Not available,49.98,10471,9032,32,4.77,0.31,4558,9988
120219150065180716,"[QUERRA COMERCIAL][Video View BRASIL][Visualização de video][18/03/25][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120219150065190716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.98,9353,8929,20,5.34,0.21,3702,9015
120216242480670716,"[REDRAGAGEM][view TUBARÃO][INSTAGRAN][R$50,00]",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120216242476850716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.98,8669,8016,40,5.77,0.46,4884,8447
120216216496350716,"[CCR][Video View REGIAO][Visualização de video][11/02/24][INSTR$50,00]",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120216216496360716,OUTCOME_ENGAGEMENT,Not available,49.98,11736,11278,44,4.26,0.37,5420,11477
120242797950290716,AUTISMO - [ENGAJAMENTO] - INSTAGRAN R$50,120242272123350716,CAMP | 2026 | Autismo | Engajamento | SC,120242797950300716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.97,8176,4902,169,6.11,2.07,1992,7978
120231707777140716,"PESCARIA BRAVA [view][INSTAGRAN][R$50,00] 19/08/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120231707777150716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,49.97,20292,14283,771,2.46,3.8,12422,19332
