ig_media_id,data,tipo,tema,conexao_pontual,curtidas,comentarios,engajamento,legenda,permalink
17961195320744795,2025-01-31,REELS,Institucional,,339,62,401,JANEIRO INTENSO!🔥🚀 O que podemos ter certeza é que trabalhamos MUITO,https://www.instagram.com/reel/DFgJHybyrQr/
17881364808282124,2025-10-06,REELS,Obras/Entregas,,361,35,396,"🌦️ Faça chuva, faça sol, tem obra em Pescaria Brava! Hoje foi dia de ",https://www.instagram.com/reel/DPey-4XkS4x/
17912743094696505,2023-07-13,REELS,Institucional,,346,50,396,"SURPRESA! 🎉 Entre lideranças, amigos, família e equipe percebo o quan",https://www.instagram.com/reel/CupieS9sHkG/
18050980193640332,2025-09-25,REELS,Cultura/Tradicao,,370,23,393,"👘✨ Hoje viemos de YUKATA, a roupa tradicional japonesa de verão, para",https://www.instagram.com/reel/DPCouFjjb2r/
18461491570079882,2025-04-25,REELS,Obras/Entregas,,312,81,393,SEXTOUU COM CHEIRINHO DE ASFALTO NOVO! 🎉 Essa é a revitalização da SC,https://www.instagram.com/reel/DI4JyZ2pTro/
17958507701253372,2023-01-01,FEED,Institucional,,380,13,393,Que ano pra ficar na memoria! Só tenho que agradecer esse maravilhoso ,https://www.instagram.com/p/Cm4YLcNOzXr/
17913346503105622,2025-06-02,REELS,Obras/Entregas,,315,76,391,VAI TER CANTEIRO DE OBRA NOSSA EM IMBITUBA!🚧 O mandato tá chegando em,https://www.instagram.com/reel/DKaMajDpBO1/
17947013960391346,2023-03-01,REELS,Institucional,,350,38,388,3️⃣ coisas que aprendi em um mês como deputado estadual! ✅ #santacatar,https://www.instagram.com/reel/CpQ1XDTD0fP/
18030967090917910,2024-03-13,REELS,Autismo/TEA,,358,29,387,🧩SEMINÁRIO DE AUTISMO! Anote as datas: 📍Tubarão (22/03) 📍Fraiburgo ,https://www.instagram.com/reel/C4d4SiKue_n/
17948556185882897,2024-12-04,FEED,Institucional,,363,21,384,“Hoje é dia da nossa pequena Lelê brilhar! 🌟 Ela está se formando no ,https://www.instagram.com/p/DDIwZ0_upbc/
18053230045866457,2025-01-16,REELS,Institucional,,322,61,383,📍 Cocal do Sul 🚀 Prefeito e toda a equipe farão um excelente mandato,https://www.instagram.com/reel/DE5UF6ZJC2k/
18026356957558651,2023-06-24,REELS,Institucional,,370,8,378,"SC NO GLOBO REPÓRTER! 😎 Foi lindo ver nossas ondas, nossos vinhos, no",https://www.instagram.com/reel/Ct4s2gds_T3/
18010413140118092,2024-04-08,REELS,Institucional,,325,45,370,ABSURDO NO BAIRRO SÃO CRISTÓVÃO! 👊 A CCR tem que repensar a mobilidad,https://www.instagram.com/reel/C5hBdN1uhP6/
18044346224513220,2024-12-22,REELS,Institucional,sim,342,27,369,Desejamos a vocês um Natal repleto de amor e união!♥️🎁,https://www.instagram.com/reel/DD5SH-4SQ7z/
18092955907708305,2025-09-05,REELS,Rural/Agro,,346,22,368,AGRO MAIS FORTE EM BRAÇO DO NORTE 🚜🌱 Renovamos a frota de tratores n,https://www.instagram.com/reel/DOOeN2DDeiD/
18188862379306266,2024-11-19,REELS,Institucional,,330,34,364,MAIOR HONRARIA DO LEGISLATIVO! 🏅 Um verdadeiro empreendedor visionári,https://www.instagram.com/reel/DCiDxXxOrtd/
17957399348589448,2023-05-06,REELS,Institucional,,330,32,362,Bora aprender a fazer Mac & Cheese com a Manu e a Lelê! 🧀,https://www.instagram.com/reel/Cr6oQWYMbXY/
18388624579111762,2025-02-07,REELS,Institucional,,307,51,358,MAIS UM DESAFIO ACEITO ✅ A Comissão de Constituição e Justiça é a mais,https://www.instagram.com/reel/DFxxCy-OlM_/
18031645546560194,2023-08-23,FEED,Atualidades,,344,14,358,"Entre Senadores, Deputados Federais, audiências públicas, ANTT, o dia ",https://www.instagram.com/p/CwTfDDXO7Ws/
18035806756465302,2023-05-04,REELS,Institucional,,124,228,352,PORTO DE IMBITUBA 🚢 O porto recebeu a Licença Ambiental de Instalação,https://www.instagram.com/reel/Cr1cSntuekS/
18093782258073617,2026-02-16,FEED,Institucional,,321,30,351,"CARNAVAL OU CAMPANHA? 🎭 O que aconteceu neste domingo foi inédito e, ",https://www.instagram.com/p/DU04ub-AJr2/
17942478560821679,2024-06-14,FEED,Institucional,,323,25,348,"É US GURI! 💥 A caminhada começa agora e vai até outubro, rumo a uma g",https://www.instagram.com/p/C8M5mmOu8G4/
17999487377500480,2023-10-25,REELS,Obras/Entregas,,296,45,341,"ENTREGANDO UM PRESENTE! 🎁 Nós desejamos o melhor para Pescaria Brava,",https://www.instagram.com/reel/Cy0_gWsuSvq/
17882554086023506,2024-03-18,FEED,Institucional,,330,8,338,Que emocionante presenciar a alegria de um universitário se formando e,https://www.instagram.com/p/C4rMDaKOqW5/
17942062581052834,2025-09-15,FEED,Institucional,,321,16,337,REGULARIZAÇÃO NA BALEIA FRANCA 🏠✅ A Advocacia-Geral da União autorizo,https://www.instagram.com/p/DOo5XkVDb2T/
18067954132572541,2024-08-13,REELS,Institucional,,285,52,337,O SEGREDO DA LONGEVIDADE! 😅 A Manu e a Lelê deixaram tudo pronto pra ,https://www.instagram.com/reel/C-nRc4IO5Yl/
17972073752166586,2023-05-27,REELS,Institucional,sim,290,47,337,"Parabéns, Tubarão! 🦈🎉 Hoje comemoramos 153 anos da Cidade Azul. Minh",https://www.instagram.com/reel/Csv9QHONFjb/
18105413911608047,2025-10-15,FEED,Institucional,,310,20,330,"Que Deus continue abençoando o nosso casamento, fortalecendo o amor e ",https://www.instagram.com/p/DP12XdKgZcn/
18039625277407811,2025-02-28,REELS,Institucional,,312,17,329,🎶🪩PLAYLIST DO GABINETE 34 💃🕺 Ouça com a gente os Hits escolhidos p,https://www.instagram.com/reel/DGoauz3pbAl/
18032154944216008,2025-01-10,REELS,Obras/Entregas,,301,28,329,📍PAULO LOPES! Fui conferir de perto os recursos que conseguimos pra e,https://www.instagram.com/reel/DEpxifCpts_/
17913149570943005,2024-11-29,FEED,Institucional,,302,25,327,2024 Que ano! 🎯 Entrando na #Trend e vendo que foi um ano cheio de de,https://www.instagram.com/p/DC-KQH5ypfD/
18380122087135090,2025-07-11,FEED,Institucional,,204,121,325,QUEM PAGA O PREÇO DESSA IRRESPONSABILIDADE SOMOS NÓS! 😒 Deixe sua opi,https://www.instagram.com/p/DL-Un1QOTCl/
17917087256910051,2024-04-22,REELS,Obras/Entregas,,273,52,325,Redragagem do Rio Tubarão! 👀 É crucial atualizar o projeto para evita,https://www.instagram.com/reel/C6E_4F0OiNx/
18083640998403325,2026-06-18,REELS,Institucional,,270,50,320,🔥 FORÇA. UNIÃO. RESULTADOS. Que noite especial! Mais de 400 liderança,https://www.instagram.com/reel/DZtNrd1tou9/
18089607424813083,2025-08-29,REELS,Institucional,,308,12,320,🤝✨ Hoje é um dia especial para Tubarão! Destinamos R$100 mil para o C,https://www.instagram.com/reel/DN86PPCAb4u/
18313234696166393,2024-11-19,REELS,Institucional,,291,28,319,PROGRESSISTAS! 💙 Nosso partido cada vez mais unido e pronto pros desa,https://www.instagram.com/reel/DCkgmnmOeYs/
18089584849980708,2025-12-09,REELS,Institucional,,310,8,318,🏅 Reconhecimento a quem faz a diferença em Santa Catarina Na noite de,https://www.instagram.com/reel/DSBkZbqDSpV/
17938283348489864,2023-02-07,FEED,Institucional,,292,22,314,Que honra ser LÍDER DA BANCADA PROGRESSISTA! 👏 Agradeço a confiança d,https://www.instagram.com/p/CoXT_4aOaJL/
18070311961516168,2024-06-02,FEED,Institucional,,297,14,311,Quem aí aceita uma tainha na telha? 🤤🐟 Pode ir pra Quermesse em Garo,https://www.instagram.com/p/C7t60OYuaW9/
18004803532779758,2023-08-08,FEED,Institucional,,287,24,311,Manuzinha aprovou vários projetos hoje na Comissão de Constituição e J,https://www.instagram.com/p/CvsFioeOAfm/
18171636766335912,2025-05-17,REELS,Cultura/Tradicao,,290,18,308,"TOMBO DA POLENTA: TRADIÇÃO QUE NOS UNE!🇮🇹 Uma panela gigante, muita ",https://www.instagram.com/reel/DJwkgU0OWtF/
17993413679075746,2023-07-10,REELS,Educacao,,169,138,307,UNIVERSIDADE GRATUITA É APROVADA NAS COMISSÕES! ✅ As Comissões de Cons,https://www.instagram.com/reel/CuhrFV3Rtik/
18076342364419956,2026-03-12,REELS,Autismo/TEA,,269,37,306,VÍNCULO TAMBÉM ENSINA 💙 Uma criança com autismo não precisa recomeçar,https://www.instagram.com/reel/DVzNyB_gEee/
17994087407258677,2023-10-10,REELS,Obras/Entregas,,273,31,304,POVO DE TUBARÃO! 🗣️ A redragagem do Rio Tubarão é fundamental para am,https://www.instagram.com/reel/CyO_0HlObf5/
18096879533276749,2026-04-18,REELS,Esporte,,268,35,303,Um jogo de tênis com o mestre @esperidiaoamin! 🎾,https://www.instagram.com/reel/DXSpzuzDbPb/
17940545738551674,2023-02-02,REELS,Institucional,,266,37,303,Hoje é dia de #TBT e já podemos relembrar da posse de ontem?🫣 Ficamos,https://www.instagram.com/reel/CoLL2rgjy4V/
17918997879041497,2025-01-11,REELS,Institucional,,276,25,301,"📍LAGUNA +1 milhão pra nossa linda cidade de Anita. Laguna, você merec",https://www.instagram.com/reel/DEsaz5DpX9A/
18075823358669442,2026-06-04,REELS,Cultura/Tradicao,,279,21,300,🍝🇮🇹 LA BELLA POLENTA! 🇮🇹🍝 Tem sabores que alimentam muito mais d,https://www.instagram.com/reel/DZK3rAIAXMM/
17875035204092327,2024-06-01,REELS,Institucional,,252,48,300,"CHEIRINHO DE SUCESSO! 💥 Destinamos 1,5 milhão para reperfilagem de ru",https://www.instagram.com/reel/C7rX3n5u-gz/
17973490448421447,2023-07-05,FEED,Institucional,,277,23,300,Tô super moderninho! 😂 Até que a Inteligência Artificial foi boazinha,https://www.instagram.com/p/CuUkWf6OZrn/
18064463291059195,2025-04-16,REELS,Institucional,,263,34,297,VITÓRIA PARA O RIO TUBARÃO! ✅ O GOVERNO DO ESTADO VAI INCLUIR A REDRAG,https://www.instagram.com/reel/DIhbyUfJ64i/
18066389407408354,2023-07-27,REELS,Cultura/Tradicao,,289,8,297,Você já foi nessa igreja? 🙏 📍 Igreja Matriz Santo Antônio dos Anjos ,https://www.instagram.com/reel/CvNEIa8Lx0j/
17952983864958171,2025-05-19,REELS,Cultura/Tradicao,,268,28,296,100 anos de Santa Teresinha Hoje a Igreja celebra 100 anos da canoniza,https://www.instagram.com/reel/DJ1L0SfuSBB/
18132719599509427,2026-02-14,FEED,Institucional,,280,12,292,LINDA DEMAIS! 🎉 Ontem a passarela Negro Querido estava simplesmente e,https://www.instagram.com/p/DUvzqesgOox/
18166739050347631,2025-07-04,FEED,Esporte,,270,22,292,VAMO PRA SEMIFINAL!❤️🤍💚 Só quem é tricolor sabe o que foi esse jogo!,https://www.instagram.com/p/DLtAP-qJHN1/
17866189028910191,2023-04-19,REELS,Educacao,,276,15,291,MAIS SEGURANÇA NAS ESCOLAS! 👮‍♂️ Aprovamos o projeto que coloca os CT,https://www.instagram.com/reel/CrPBBR6NIm4/
17951704328334723,2023-03-04,FEED,Obras/Entregas,,278,13,291,"Pra obras que mudam a vida das pessoas, nós batemos palmas! 👏 A ponte",https://www.instagram.com/p/CpYg9eXu_Cj/
17919435150095663,2025-06-05,REELS,Autismo/TEA,,257,29,286,📊 DADOS DOS AUTISTAS EM SC! 🧩 A apresentação do @ibgeoficial foi um ,https://www.instagram.com/reel/DKh0aG-RXU5/
17855307231369949,2025-02-05,REELS,Institucional,,254,31,285,"CCJ EM BOAS MÃOS! 🫶 Minhas meninas obrigado, papai tá muito feliz! 🥰",https://www.instagram.com/reel/DFtAc6tyuxf/
17863830918633197,2026-06-15,REELS,Obras/Entregas,,256,28,284,ABRINDO CAMINHO! 🚧 Uma obra que representa muito mais do que asfalto.,https://www.instagram.com/reel/DZnWAjJhOVa/
17948042933347679,2023-02-21,FEED,Institucional,,280,3,283,"🎉O carnaval foi em família, entre amigos, prestigiando os eventos de ",https://www.instagram.com/p/Co8HN9juYpO/
18303098686281511,2025-12-01,REELS,Institucional,,263,19,282,🚨🚐 Você viu isso? Capivari de Baixo acaba de ganhar um reforço que m,https://www.instagram.com/reel/DRuuj4sAAG3/
